V01: INTRADAY PROFILE OF ENTRY DAYS (T+2)

Events analyzed: 1113
Minute observations: 2,828,884

Lowest avg price: minute 297 (-0.13% from open)
Close avg: -0.06% from open
Potential savings (buy at low vs close): 0.07%

Average price path (% from open):
Minute     Time     Avg%     Med%  Winners   Losers
   233    13:23   -0.02%   -0.02%   +0.15%   -0.74%
   234    13:24   -0.01%   -0.01%   +0.16%   -0.74%
   235    13:25   -0.02%   -0.02%   +0.15%   -0.74%
   236    13:26   -0.02%   -0.03%   +0.15%   -0.75%
   237    13:27   -0.02%   -0.02%   +0.15%   -0.73%
   238    13:28   -0.02%   -0.04%   +0.14%   -0.74%
   239    13:29   -0.02%   -0.04%   +0.14%   -0.73%
   240    13:30   -0.02%   -0.03%   +0.15%   -0.71%
   241    13:31   -0.03%   -0.05%   +0.14%   -0.72%
   242    13:32   -0.03%   -0.03%   +0.13%   -0.73%
   243    13:33   -0.04%   -0.04%   +0.12%   -0.74%
   244    13:34   -0.04%   -0.04%   +0.13%   -0.75%
   245    13:35   -0.02%   -0.03%   +0.14%   -0.75%
   246    13:36   -0.04%   -0.04%   +0.13%   -0.76%
   247    13:37   -0.03%   -0.05%   +0.14%   -0.77%
   248    13:38   -0.02%   -0.05%   +0.16%   -0.77%
   249    13:39   -0.02%   -0.05%   +0.15%   -0.76%
   250    13:40   -0.02%   -0.04%   +0.15%   -0.75%
   251    13:41   -0.02%   -0.05%   +0.15%   -0.74%
   252    13:42   -0.01%   -0.04%   +0.16%   -0.75%
   253    13:43   -0.02%   -0.06%   +0.15%   -0.76%
   254    13:44   -0.02%   -0.07%   +0.15%   -0.77%
   255    13:45   -0.01%   -0.05%   +0.16%   -0.76%
   256    13:46   -0.01%   -0.06%   +0.16%   -0.75%
   257    13:47   -0.01%   -0.05%   +0.16%   -0.75%
   258    13:48   -0.01%   -0.06%   +0.16%   -0.75%
   259    13:49   -0.02%   -0.05%   +0.16%   -0.76%
   260    13:50   -0.02%   -0.06%   +0.16%   -0.76%
   261    13:51   -0.02%   -0.07%   +0.15%   -0.77%
   262    13:52   -0.02%   -0.07%   +0.15%   -0.78%
   263    13:53   -0.02%   -0.07%   +0.15%   -0.78%
   264    13:54   -0.03%   -0.07%   +0.15%   -0.78%
   265    13:55   -0.03%   -0.08%   +0.15%   -0.79%
   266    13:56   -0.03%   -0.07%   +0.15%   -0.78%
   267    13:57   -0.03%   -0.07%   +0.14%   -0.78%
   268    13:58   -0.04%   -0.07%   +0.14%   -0.78%
   269    13:59   -0.03%   -0.07%   +0.14%   -0.79%
   270    14:00   -0.04%   -0.07%   +0.14%   -0.81%
   271    14:01   -0.05%   -0.08%   +0.12%   -0.82%
   272    14:02   -0.06%   -0.09%   +0.11%   -0.83%
   273    14:03   -0.07%   -0.09%   +0.10%   -0.84%
   274    14:04   -0.08%   -0.10%   +0.10%   -0.85%
   275    14:05   -0.08%   -0.10%   +0.10%   -0.85%
   276    14:06   -0.08%   -0.11%   +0.10%   -0.87%
   277    14:07   -0.09%   -0.11%   +0.09%   -0.86%
   278    14:08   -0.11%   -0.12%   +0.07%   -0.89%
   279    14:09   -0.11%   -0.10%   +0.07%   -0.87%
   280    14:10   -0.11%   -0.13%   +0.06%   -0.85%
