minute,avg_price,median_price,std_price,p25_price,p75_price,avg_volume,count,avg_winners,avg_losers,avg_small_drop,avg_medium_drop,avg_big_drop
204,7.361487419576106e-05,-0.00020988608732430691,0.023665305913945858,-0.012512310124483172,0.012000994161942669,61028.27024810992,7444,0.0017885305730861894,-0.007342966181234518,0.0001867006493267669,-0.0009573428821271485,0.0009865635806676212
205,-1.0596024907895635e-05,-0.0002087775172374129,0.02366941049759781,-0.012580181715856703,0.011798031408689458,63221.032112584595,7438,0.0016960765110557393,-0.00739070253153375,0.00015481432017430628,-0.0009811669750500417,0.0005455450715340779
206,-7.129817180014847e-05,-0.00011371141894300774,0.023711007825711207,-0.012489236732623143,0.011796615095114427,61757.96151790626,7428,0.0016412908729721608,-0.007490878132461228,0.00012972212942680332,-0.0010247147120332032,0.0002703766224695714
207,0.00021388815226842405,-4.220504294599747e-05,0.022961050147436986,-0.01233215287553699,0.01170763022743937,61504.38701480354,7340,0.001987213646716399,-0.007343402216543914,0.00017217489750795913,-0.001194290392753995,0.0026746227336084285
208,0.00014529944124585452,-7.937137868074817e-05,0.02298464841364103,-0.012394967133102508,0.011700746300244647,61648.50108992339,7331,0.001936451731104646,-0.007496692979351389,0.00014730211154754337,-0.001362221453117715,0.002521591050159431
209,0.0001743802447966288,-7.081135747805112e-05,0.02307138373633985,-0.012504509379509365,0.011821667459752327,60272.47078739735,7342,0.0019620881555519045,-0.007453515489186427,0.00019192586525348124,-0.0013448289329835435,0.002487788873783872
210,0.0002675396029847205,-3.2787247074839154e-05,0.023269420746181078,-0.012428106138825806,0.011878754944919023,71689.23027376019,7344,0.0020475830401486136,-0.0073033747585149284,0.00017651969725774547,-0.0011387844368224464,0.0030278988594045794
211,0.0003833850542514312,6.486135884542499e-05,0.023361859424351008,-0.012433614495470202,0.01207477069546048,67043.07841348562,7333,0.0021890826314641537,-0.007316430888780567,0.0002782454103291899,-0.0010299939155957204,0.0032356591207572238
212,0.0003503072572839877,1.4202635592597268e-05,0.023348395390650784,-0.012482105294585877,0.012146989928743135,66654.92764075112,7336,0.0021704113360637204,-0.0073805783076616865,0.00022985621422278818,-0.0010725277981665693,0.003301403219083057
213,0.0002262285154009042,-2.2979105936071775e-05,0.02335890105879629,-0.012532532511892402,0.011815296432878264,62138.949257972876,7338,0.002073560658988625,-0.007706903460525585,0.00014866118640081903,-0.0012359924339485377,0.0029932623139952434
214,0.00015993039066644485,-0.00011712255558904427,0.0233824593928676,-0.012604610987050735,0.01191923811051876,60049.44979327668,7332,0.002027158552125001,-0.007758772026727131,9.829673543335795e-05,-0.0013792022271813453,0.0029509796446824665
215,7.577803490163897e-05,-0.00012278495933348843,0.023351166893529438,-0.012606473594548584,0.011842563566701658,63604.643362056704,7337,0.001952808732092587,-0.007919430855928907,6.130244961830917e-06,-0.0013856878160723222,0.0027868501385666824
216,1.3618848757169767e-05,-0.00017214516646246736,0.023319620147563957,-0.012668940019736535,0.011810026834162601,62612.40465990361,7336,0.001863978266195256,-0.007859686981889128,-1.2354793872334422e-06,-0.0014820774121442645,0.0024633474078111332
217,-7.183270268576456e-05,-0.0001779291919279391,0.023413981124631736,-0.012738338743797706,0.011739535420368041,60542.86414688256,7338,0.0017747092554427843,-0.007931540664863299,-6.631951341306885e-05,-0.0015725167056666032,0.0022892844572838635
218,-5.9798976909003425e-05,-0.0002603206282404402,0.0234359352731512,-0.01283206657639585,0.01181961305018453,61084.20583484092,7339,0.0017614132019075376,-0.007819860045644143,-3.863591474865107e-05,-0.0015099317945898093,0.002129000137385137
219,-5.573329577548053e-06,-9.550961249221723e-05,0.02349528721257229,-0.01276590778370651,0.011886428640934976,59188.2066850597,7318,0.0018092191420382864,-0.007717790404076976,-2.778977638576189e-05,-0.001423674305184539,0.0023514771409367317
220,7.54027770531773e-05,-5.8309037900827754e-05,0.02358198059777502,-0.012725514022901174,0.0119375740516392,62724.883436156015,7335,0.0018981569845752462,-0.007713562722235951,1.2859861435235634e-05,-0.0013649665145940026,0.0027185076970802696
221,-4.841635610328508e-05,-9.837920263644495e-05,0.02426177949276756,-0.01272978688791282,0.012037350692961635,63989.61924067788,7413,0.0017220828376438174,-0.007672842375847429,2.4465849580442777e-05,-0.0010648258819929246,0.0010702910079680198
222,6.74876393604275e-05,5.678189800317757e-05,0.024507290435468083,-0.012720804063673541,0.012275611426959543,64368.79444450277,7426,0.0017920977086194384,-0.0073951005512926235,0.00012729077540160952,-0.0009726774374239265,0.0012813563615283931
223,9.368165123182785e-05,1.2661206204689357e-05,0.024642575210530118,-0.012668065088168728,0.012382134733206929,61144.07627636532,7426,0.0018136317885289223,-0.007322526809159364,0.0001729723033187187,-0.000964606161582127,0.0012229706624959558
224,6.725961344868578e-05,3.609062633247451e-05,0.024681359806699006,-0.012833691125574476,0.012395240705943222,60114.036091193426,7430,0.0017450796461212547,-0.0071912664777190214,0.00020133088637518793,-0.0009026900763663776,0.0007850079697187915
225,1.9707070029230617e-05,0.0,0.024608320954852048,-0.012847155054916404,0.012375263131525871,62951.188357986444,7454,0.0016945996656680497,-0.007242157247640295,0.00014895003415456442,-0.0009151702384757074,0.0007053594978941987
226,-0.0001264434331941469,-2.7746125288274914e-05,0.0246892237715148,-0.013026159112632968,0.012232145499279923,62061.98961753242,7430,0.0015613090893688314,-0.007408648881048143,3.0351720018044906e-05,-0.0010520592728146764,0.00040500934413426477
227,-7.649202054776118e-05,-0.00011299435028255811,0.024706312166540047,-0.012960849114934503,0.012279301140051047,63597.239110685055,7443,0.0016009714909484313,-0.007336294733866286,6.14580820969639e-05,-0.0009213610979184344,0.00043258720479494143
228,-5.8989774600375806e-05,-7.390983000743478e-05,0.024596803914451383,-0.012935568866072444,0.012248029013387396,60601.47015812261,7427,0.0016355117572645313,-0.007398991384990075,8.870934823018463e-05,-0.000869563796652854,0.00035275088978923435
229,5.389396222070786e-05,-5.767567047965105e-05,0.02467271035815275,-0.012726175916096039,0.012347972306937072,59771.94693530162,7439,0.0017291693512850627,-0.007204431809467435,0.00015501307059831733,-0.0007108125140952251,0.0006408815399849341
230,-4.1742741124631894e-05,-0.00015900259857409837,0.0246994390507984,-0.012870796138224533,0.012442377155076123,61670.230675019586,7438,0.0016231229250007065,-0.007253773723486941,0.00011481043212571225,-0.0008063194783128872,0.0002558742806994584
231,-1.540191704159387e-05,-8.737587006646397e-05,0.02464343085802249,-0.012863344317805225,0.012513689607228817,62900.03927095699,7432,0.0016485616765645815,-0.007222727726363034,0.00010109583324754776,-0.0007466651716185301,0.000444503299355994
232,-0.00012998673202315342,-0.00013855350144498235,0.02475484826538186,-0.013021934793554846,0.01239199204777175,59686.692942453206,7435,0.0015543091305078697,-0.007429004885215342,5.879039785787354e-05,-0.0009303947172495743,4.870169190623445e-05
233,-0.00015250796929657925,-0.00016483516483511984,0.024823262494478023,-0.012905739737147037,0.012377660494925613,58644.89388421903,7435,0.0015112971134772191,-0.007369098285247254,5.3825003539700367e-05,-0.0009586956930545552,-5.496648267623776e-05
234,-0.00012034011781149949,-8.586363513546358e-05,0.024854281910062094,-0.013012674825174791,0.012386883905496249,57507.904593052976,7428,0.0015557327299973518,-0.007362511620664645,5.061268015035906e-05,-0.0009611690746609519,0.00020927062210993503
235,-0.00017714340538494872,-0.00019871477456434583,0.02486316697229862,-0.012960857336715786,0.01232014068638948,60668.48968036225,7432,0.0014931216439454135,-0.007399005753349179,1.1922848437504535e-05,-0.0009919283252453597,2.2552762161023177e-05
236,-0.0001762881363273618,-0.00025613113914324526,0.024959685882112646,-0.012936076515516537,0.012461675403026451,59802.610523473784,7429,0.0015076256068545988,-0.007459969517230551,-4.106889359201874e-06,-0.000902409040402754,-1.8905499955419542e-05
237,-0.00017970953903172885,-0.00023565052687651855,0.0249505793178401,-0.012947461312556557,0.012455065391722142,59021.43338664838,7432,0.0014782493089066154,-0.007342044290146909,5.1997683236172964e-05,-0.0009539382455041751,-0.0002586784697130286
238,-0.0002446994463169709,-0.0003903200624512104,0.025045096968898863,-0.013005384327254343,0.012358241805764614,59061.67159496946,7427,0.0014130107161994857,-0.007412661955492072,3.527205679697492e-05,-0.0009517074218380653,-0.0006761889641023064
239,-0.000202125250474659,-0.00039011341911465713,0.025104887243925903,-0.012938336323868371,0.012609010617429472,57918.276252046366,7436,0.0014328803205374714,-0.007276218122189034,8.391871213045532e-05,-0.000965420171834833,-0.0005878018228318032
240,-0.00015560098460482268,-0.00029036004645754954,0.02506803993036846,-0.01278804760698915,0.012726282012471835,64725.437166266645,7449,0.001453008200777762,-0.00713046588368848,0.00018261554055068506,-0.0008424108939745468,-0.0009193283497322185
241,-0.0002516026823244962,-0.0004637681159420648,0.02497293237036568,-0.01291384317521782,0.012693204386495127,63796.19361291441,7441,0.0013696298566126897,-0.007241070587521214,0.00016458758494531907,-0.000961747319043234,-0.0013892121721410203
242,-0.0002809341177063245,-0.0003409104304603616,0.025039362004878836,-0.012918381416385016,0.012665014020155352,60198.56618111152,7420,0.001336421204171384,-0.007272457194919433,0.00021175471715136486,-0.000977218997033408,-0.0018366596824210314
243,-0.00042398733673194844,-0.00041844870757584696,0.025182602954069797,-0.013088159412543543,0.012448452009477917,60509.45964299094,7424,0.0011895043200219949,-0.007391127527930207,0.00017765263427454035,-0.001135583033505157,-0.0025261771685318826
244,-0.0003617954832082302,-0.0004218232525710075,0.025181718516750436,-0.013159724623803881,0.012509307928164848,59880.30738504779,7431,0.001294411936622305,-0.007534337946276336,0.0001419567415919272,-0.0011102434332079388,-0.001903792159618567
245,-0.0002454849209188599,-0.00031578947368426924,0.025105119738732026,-0.012996616723054744,0.012672018348623748,63061.60148427227,7437,0.0014196418426232252,-0.00746382138582906,0.0001801791761345919,-0.0008208262764363828,-0.001630385991459829
246,-0.0003529474240773677,-0.00042949868802644176,0.02514778549449707,-0.01304878145278665,0.012444079912372397,60225.17146671971,7439,0.0013086535235138565,-0.007571123379597579,0.00016178042405442229,-0.0009936448649400023,-0.0021120100407659007
247,-0.00033546113550012957,-0.0005358385525400244,0.02532216862414274,-0.013166516196082834,0.012624807472739752,57020.35192388237,7427,0.001371661797754027,-0.007717085173771867,0.00011851652173171279,-0.0010355430403789973,-0.0016781871924049848
248,-0.0001806336366814723,-0.0004636317348468699,0.025279501169964778,-0.01333131848706337,0.012774823857224726,59108.5257873887,7420,0.001567872815684282,-0.007739098401355816,0.00013575349871639027,-0.000912388798382603,-0.0007566949861973716
249,-0.00020148535358459045,-0.0004658746797112645,0.025318950343859656,-0.013279374635578822,0.01283962428849561,58294.72885285982,7419,0.0015114244422419867,-0.007637659629203208,0.0001296760469391103,-0.0008788244168876923,-0.0009446455220781192
250,-0.00022899082190716154,-0.00038419670871470135,0.02528695465427119,-0.013225759344992816,0.012716615276718524,62060.167897775405,7431,0.0014504753000813089,-0.00752156837532942,0.00017668895093834848,-0.0008051622656797653,-0.0015060934926330995
251,-0.00017623092115388124,-0.000491429575810165,0.02519255886041792,-0.013196351774349913,0.012815498571713435,57873.46563987505,7422,0.0014911924925257657,-0.007380217239610678,0.00013536671785572968,-0.0007862051091481845,-0.0009122127912338687
252,-0.00010712286101296941,-0.00043351035005956273,0.025034181881661427,-0.013140619340313464,0.012764071781011244,58339.87734408604,7431,0.001610125967453794,-0.0075309027176010184,0.00015079159346100403,-0.000768983025490719,-0.00048673937204739834
253,-0.00016234915629036314,-0.0005609311457018817,0.02512233965854008,-0.013307227716200964,0.012709165653407295,57603.73144172616,7433,0.001544226974522263,-0.007555472007063282,9.816739906707676e-05,-0.0007729990299197287,-0.0006307619696042147
