ticker,event_date,drop_pct,d0_minute_of_low,d0_rebound_low_to_close,d0_pct_volume_after_low,d0_near_low_retest_count,d1_pct_bars_above_vwap,d1_longest_streak_above_vwap,d1_last90_logprice_slope,d1_full_day_trend_r2,target_distance_over_atr20,num_droppers_3pct,num_droppers_5pct,frac_droppers_3pct,d1_return_vs_sector
NKE,2022-03-01,0.0317100090390584,243.0,0.0003796507213364,0.2111746170717766,5.0,0.9333333333333332,272.0,-2.54155691948688e-05,0.7254265551187801,1.7420544842516237,29,7,0.29,0.005166107737882841
NVDA,2022-03-01,0.0372360441879133,258.0,0.0087757219436279,0.1802382584681764,2.0,0.8666666666666667,238.0,2.3753481758810637e-05,0.7794832711994754,0.814183404120895,29,7,0.29,-0.001083399057506762
QCOM,2022-03-01,0.048258635889675,328.0,0.0017924413659009,0.0070017942011513,1.0,0.9363636363636364,238.0,-3.914994852171098e-06,0.6938377984678992,1.083556510687968,29,7,0.29,0.0012352316101220673
SCHW,2022-03-01,0.0781434826623678,258.0,0.0195399294209905,0.2107710883490648,1.0,0.990909090909091,323.0,1.356183917221676e-05,0.8141807441415034,1.2293294621034576,29,7,0.29,0.02485592743567855
UBER,2022-03-01,0.0593949337261175,256.0,0.0117871962062834,0.206738467302968,2.0,0.7606060606060606,237.0,-2.324676672667097e-05,0.3993948432009544,0.7221973211237952,29,7,0.29,-0.016576204932858607
USB,2022-03-01,0.0474000753763657,287.0,0.0098039215686276,0.1164420481925532,0.0,0.996969696969697,329.0,-2.3586867122811503e-05,0.7310543636102809,1.787396232847524,29,7,0.29,0.018126834137229375
V,2022-03-01,0.0330834446512336,287.0,0.0079120030876109,0.1253315595017169,1.0,0.8878787878787879,238.0,-2.111930994978464e-05,0.4010868380146494,1.7582751411788249,29,7,0.29,-0.020741086626552607
WFC,2022-03-01,0.057710288139379,252.0,0.0115976804639073,0.20158480563689,1.0,0.9393939393939394,278.0,-4.837486745581374e-05,0.5986427147842586,1.39223744279228,29,7,0.29,0.012501300188285658
AMD,2022-03-03,0.0532634045263956,106.0,0.0041023811647196,0.5438039601915958,4.0,0.0303030303030303,5.0,-0.0001259195488267,0.7008230082348819,0.7295260369654938,10,3,0.1,-0.004976332880440526
BA,2022-03-03,0.0452959484640005,,,,,,,,,,10,3,0.1,-0.04022800882092503
C,2022-03-03,0.032572236344444,,,,,,,,,,10,3,0.1,0.0008382013618967177
GM,2022-03-03,0.030656264643801,329.0,0.000670540902995,0.0024381638809035,0.0,0.0,0.0,-2.573531533494814e-05,0.7061029113707343,1.0289094479875496,10,3,0.1,-0.04755458495588938
MU,2022-03-03,0.0441586560752466,90.0,0.0135203937319681,0.5058274777946564,1.0,0.009090909090909,2.0,-0.0002317319021003,0.8706745335048935,0.8476820756956519,10,3,0.1,-0.05461612595538112
NFLX,2022-03-03,0.0314711785219776,325.0,0.0010926573426575,0.0073290791367074,1.0,0.0272727272727272,9.0,2.3608327336685225e-05,0.4081031568326647,1.0213672914624632,10,3,0.1,-0.002846228362672787
NOW,2022-03-03,0.0421592722171704,106.0,0.0141840798246006,0.4616256813891909,1.0,0.1142857142857142,15.0,-8.983076733330504e-05,0.196725227415293,1.027986030093556,10,3,0.1,-0.009585204894319466
PLTR,2022-03-03,0.059701512601746,322.0,0.0030946065428825,0.0146294484006084,1.0,0.0242424242424242,7.0,-5.752531385060956e-05,0.2749791341442862,0.5556404052970925,10,3,0.1,-0.015992457209626387
TSLA,2022-03-03,0.0461421044882577,322.0,0.0037517856451123,0.0220691279942243,2.0,0.3909090909090909,75.0,-0.0001897756893474,0.0033808808525893,0.8417669836432702,10,3,0.1,0.014693831683597725
UBER,2022-03-03,0.0681551568676539,326.0,0.0007841907151819,0.0120274383341205,1.0,0.3090909090909091,65.0,-0.0001241877701255,0.0427400814979452,0.6256130142840345,10,3,0.1,-0.04369848950196764
