ticker,event_date,success,days_to_hit,hit_5_by_5,hit_5_by_10,hit_5_by_60,speed_label,max_5d_high_ret,max_5d_day,ret_per_day_5d,d2_high_ret,d3_high_ret,d4_high_ret,d5_high_ret,drop_pct,final_return,max_drawdown,d0_minute_of_low,d0_rebound_low_to_close,d0_pct_volume_after_low,d0_near_low_retest_count,d1_pct_bars_above_vwap,d1_longest_streak_above_vwap,d1_last90_logprice_slope,d1_full_day_trend_r2,d1_return_vs_sector,target_distance_over_atr20,num_droppers_3pct,num_droppers_5pct,score,tier
MU,2021-11-26,True,17.0,False,False,True,SLOW_WIN,0.03378225775166507,3.0,0.016891128875832533,0.009055012593726678,0.03378225775166507,-0.029603007543836247,-0.019851394202333245,0.0323628459013619,0.0326061050156638,-0.0215775049373396,36.0,0.015125640400097451,0.7120700214570076,3.0,0.5969696969696969,128.0,7.540920185265682e-05,0.5181806935369339,-0.010598830415758514,1.725829675056703,30,5,5,SMALLER_YES
NVDA,2021-11-26,True,,False,False,False,LOSE,0.0,,0.0,-0.0006890822804703178,-0.002606603166098203,-0.02690552566497183,-0.037362112109766726,0.0358388790669508,0.0594546289515818,-0.1060851643902257,111.0,0.003987240829345984,0.5085965534426999,7.0,0.7757575757575758,224.0,4.184502678135284e-05,0.7081021355200838,0.016249693520159453,0.9452509200172521,30,5,5,SMALLER_YES
RTX,2021-11-26,True,8.0,False,True,True,SLOW_WIN,0.01748248017314144,6.0,0.003496496034628288,-0.0053050690674514255,-0.009645563397746247,-0.008560393821717594,-0.00988666108858045,0.0480559963766721,0.0242168932075959,-0.0475903246776167,86.0,0.016397469753730798,0.5884240947539359,2.0,0.32727272727272727,76.0,4.7400299393702355e-05,0.08499429549623294,0.0015580798790978314,2.4548113281493014,30,5,-100,VETO
SCHW,2021-11-26,True,14.0,False,False,True,SLOW_WIN,0.011235974319895661,5.0,0.0028089935799739153,-0.01248439474469007,0.0023720654809704705,0.004993776947550626,0.011235974319895661,0.0479913145665276,0.0120024880597326,-0.0331017396850635,108.0,0.015396458814472602,0.6478693639709918,6.0,0.5212121212121212,169.0,7.385323916169414e-06,0.5040861472455946,0.010176596773088417,2.115820921420012,30,5,2,NO
SPG,2021-11-26,False,,False,False,False,LOSE,0.0,,0.0,-0.013317524386013585,-0.006940106248642889,-0.037264015398840736,-0.04470432065857215,0.0505827552121181,-0.0549600716615431,-0.0795114334904376,47.0,0.013899418751579518,0.6266989034544442,3.0,0.4923547400611621,160.0,-5.863576596495445e-05,0.19623534684104305,-0.009423915011107953,1.7827682650425456,30,5,-100,VETO
TSLA,2021-11-26,True,25.0,False,False,True,SLOW_WIN,0.03153057143337974,3.0,0.01576528571668987,0.027273774791019185,0.03153057143337974,-0.02109958778361768,-0.04081830342839414,0.030537595031082,0.0509002279002275,-0.1432638778647038,210.0,0.003285515964830843,0.09009109521482189,5.0,0.7393939393939394,159.0,2.030387967092067e-05,0.002803999637865817,0.04136371292478976,0.847558628149516,30,5,5,SMALLER_YES
UBER,2021-11-26,False,17.0,False,False,True,SLOW_WIN,0.006297229098125831,2.0,0.006297229098125831,0.006297229098125831,-0.005037802496118762,-0.03287154357926408,-0.046851399864150656,0.0370722743681001,-0.0695952532814916,-0.1182132492945117,9.0,0.039979365488779894,0.8230044465652309,0.0,0.5575757575757576,172.0,-3.3163461989187636e-05,0.35998307426408116,-0.029773427254818165,0.9231188529606636,30,5,-100,VETO
USB,2021-11-26,False,29.0,False,False,True,SLOW_WIN,0.0026132004737667797,6.0,0.000522640094753356,-0.010975628072608972,-0.005749160666936664,-0.0055749074271356286,-0.010104561248020045,0.0391042805250844,-0.0012173859969429,-0.0460869830587635,23.0,0.015030946065428763,0.8651762771428111,3.0,0.5454545454545454,176.0,-1.9421104302468788e-05,0.29861804940393744,-0.003564995184402388,2.283306098037988,30,5,-100,VETO
WFC,2021-11-26,True,26.0,False,False,True,SLOW_WIN,0.015052922716918035,6.0,0.003010584543383607,-0.01322216289455753,0.005899123605115512,0.004882052058823004,0.002034143092585015,0.0561294287864586,0.0150732921254661,-0.0251910223624909,13.0,0.013629691759278861,0.8819170826737519,1.0,0.5151515151515151,168.0,1.1644875233258035e-05,0.5326215460858089,0.013247400838821874,1.8600296010032638,30,5,5,SMALLER_YES
XOM,2021-11-26,True,26.0,False,False,True,SLOW_WIN,0.010391287352863337,5.0,0.002597821838215834,-0.00649458556401869,0.0071439945708539915,-0.0001623367674692726,0.010391287352863337,0.0351291675853369,0.0166530686981825,-0.0238367197464923,15.0,0.022002015451797252,0.8222103804582266,6.0,0.3515151515151515,57.0,-9.103006325989118e-06,0.06433510097084838,-0.0004134401218972945,1.9529579101315868,30,5,2,NO
BMY,2021-11-29,True,4.0,True,True,True,FAST_WIN,0.07700908392995326,6.0,0.015401816785990652,0.04344579470356716,0.041954129315460664,0.05705757034588271,0.07290695076522627,0.0334335650178824,0.0140922486523591,-0.0184845961349799,,,,,,,,,-0.0006105342070653295,,3,1,-999,VETO
DE,2021-11-29,True,6.0,True,True,True,FAST_WIN,0.06201884628649376,6.0,0.012403769257298752,0.02370203808205761,0.024830660300079795,0.021705156608586944,0.03577005569806728,0.0311995319675251,0.0184435447593342,-0.0187882691652347,119.0,0.007824229125765081,0.4573828947332022,1.0,0.12538226299694188,22.0,-1.9165884497530105e-06,0.6472155771383388,0.017096977845871643,1.4950832728032237,3,1,-100,VETO
MRK,2021-11-29,True,26.0,False,False,True,SLOW_WIN,0.026698703807588126,2.0,0.026698703807588126,0.026698703807588126,-0.0017354809298755708,-0.008810621143290839,-0.014150382274302946,0.0539414360146728,0.01362003312557,-0.0348511234026305,245.0,0.007905405405405297,0.16049867403517676,4.0,0.5,123.0,-6.967445798017199e-05,0.14543633796117283,0.018141177332160616,1.5465399302215441,3,1,3,NO
AXP,2021-11-30,True,2.0,True,True,True,FAST_WIN,0.13647871558535954,6.0,0.02729574311707191,0.05231244989491915,0.05511131818612591,0.08449958777067929,0.12728246310984823,0.0352210663695459,0.0293499745970722,-0.0147078492992729,,,,,,,,,-0.004343157600935852,,28,1,-999,VETO
BK,2021-11-30,True,6.0,True,True,True,FAST_WIN,0.06058365009741781,6.0,0.012116730019483563,0.04396012365988852,0.041004825373669826,0.037310684900929196,0.04082007959710483,0.0389404923937236,0.0248220585440097,-0.0118635063883472,,,,,,,,,-0.0014988146900101283,,28,1,-999,VETO
BKNG,2021-11-30,True,2.0,True,True,True,FAST_WIN,0.12457611986987276,6.0,0.02491522397397455,0.059443383529796064,0.06195909693427707,0.11027522622550252,0.12120897824461098,0.0367368335204396,0.0333420540417126,-0.0165758796458757,,,,,,,,,0.00045566194368778373,,28,1,-999,VETO
CL,2021-11-30,True,8.0,False,True,True,SLOW_WIN,0.0489455162658207,4.0,0.0163151720886069,0.011672599290918663,0.018437450602225285,0.0489455162658207,0.04549675464842547,0.0346159113768892,0.0233271138137505,0.0049320549605254,329.0,0.00045973991856040897,0.003216459293042143,0.0,0.9181818181818182,236.0,3.858859059927542e-05,0.48168479146734533,0.006363457308799021,3.547440601636096,28,1,7,SMALLER_YES
CMCSA,2021-11-30,True,2.0,True,True,True,FAST_WIN,0.08638957623041643,4.0,0.02879652541013881,0.05867964800189217,0.06458835708645774,0.08638957623041643,0.08374082455385091,0.0300795644127036,0.0304121229573668,-0.0454181721877431,160.0,0.0018032458425165654,0.4241085508051083,5.0,0.05757575757575758,14.0,-8.94606563226835e-05,0.8733404117680165,0.0024979514183159288,2.5260089929174443,28,1,-100,VETO
COF,2021-11-30,True,4.0,True,True,True,FAST_WIN,0.09207202386886242,5.0,0.023018005967215604,0.04914362428067439,0.03888129704894546,0.06851204250097263,0.09207202386886242,0.0441436900051821,0.0201380620197628,-0.0155126499303891,319.0,0.002739726027397138,0.02726439278101189,2.0,0.3,47.0,-0.00010009361283639675,0.7649597338627723,-0.005005718042444882,1.6540765463546425,28,1,-100,VETO
CRM,2021-11-30,False,5.0,True,True,True,FAST_WIN,0.07447320471701044,5.0,0.01861830117925261,0.04405561261338221,0.040755467196819085,0.030735630164326542,0.07447320471701044,0.0396980493596182,-0.1324746837212126,-0.1324746837212126,216.0,0.010081070858658947,0.21520900889808173,1.0,0.06363636363636363,19.0,-0.00017844274013944353,0.8324072945120795,-0.09106361138165756,1.4676507473678628,28,1,-100,VETO
CVS,2021-11-30,True,4.0,True,True,True,FAST_WIN,0.0620635527370088,6.0,0.01241271054740176,0.027033133125459973,0.03165124574488088,0.05248934136273122,0.05260191747191527,0.0321669114589745,0.0104424020960018,-0.0031439342799516,325.0,0.0012249443207126287,0.016645690956631907,1.0,0.5303030303030303,113.0,-3.1883872368406496e-05,0.31276674073296185,-0.004481258957461368,2.1125511131071337,28,1,-100,VETO
DUK,2021-11-30,True,4.0,True,True,True,FAST_WIN,0.06292686844158922,4.0,0.020975622813863073,0.021320611674963165,0.03446485310494318,0.06292686844158922,0.05102463428930281,0.0320295254976463,0.0295845279248339,-0.0040201977225066,102.0,0.0012218714998473157,0.6017458369403612,6.0,0.7598784194528876,214.0,-1.578475527037111e-05,0.0803874563699184,-0.0069699476681289365,3.0388331453832786,28,1,-100,VETO
EMR,2021-11-30,True,3.0,True,True,True,FAST_WIN,0.07063022455068634,5.0,0.017657556137671584,0.04896877468795654,0.053347127601995795,0.061643028202387554,0.07063022455068634,0.0332379952913721,0.0289162229214676,-0.0119535002975672,151.0,0.003960620119950242,0.43056507459344284,4.0,0.47575757575757577,75.0,-0.00011061296969243814,0.4532389882275608,0.0027244139825334593,2.026593532679419,28,1,-100,VETO
FDX,2021-11-30,True,3.0,True,True,True,FAST_WIN,0.0931161946945931,5.0,0.023279048673648276,0.0414873869474316,0.05961893890522308,0.08429184762111472,0.0931161946945931,0.0423993511098188,0.0214003908454416,-0.0112427676901808,329.0,0.0003455723542116207,0.0031634230139736363,0.0,0.40425531914893614,132.0,-6.536182792737148e-05,0.7025920073463485,0.00343514658991987,1.9785734839752671,28,1,-100,VETO
GE,2021-11-30,True,5.0,True,True,True,FAST_WIN,0.06387099628594069,6.0,0.012774199257188137,0.029892475836756256,0.02526886307859516,0.04182800294849379,0.05731187485071209,0.0346544932918607,0.0107380026491288,-0.0527424040267687,214.0,0.00856356515295853,0.26709243728125664,1.0,0.1484848484848485,21.0,-4.4376733332394284e-05,0.7748424853331302,-0.006271655776298811,1.5169765973593898,28,1,-100,VETO
GM,2021-11-30,True,2.0,True,True,True,FAST_WIN,0.07440578010064466,5.0,0.018601445025161166,0.055804302224147166,0.06252148066754704,0.045986877467997705,0.07440578010064466,0.0332442642528584,0.0544323757390523,-0.0661827905140534,161.0,0.01061977715877438,0.35171125695423455,1.0,0.44242424242424244,114.0,0.00030363738389625224,0.32188747409418994,0.008556211483605618,1.375115279893758,28,1,4,NO
